SECTIONS,shipmonth,weight,status,region,TITLED,wgtadj,jstatus,jprice,jsqft,jbedroom,price,sqft,jtitle,jlocation,jfoundation,jsecured,bedrooms,location,foundation,secured,controlid
2,201609,7.1273,2,2,1,1.0426730181784527,R,R,R,R,126000,1700,R,R,R,R,3,3,3,1,16090136
2,201609,7.1273,2,2,1,1.0426730181784527,R,R,R,R,154400,1700,R,R,R,R,3,3,1,9,16090137
2,201609,7.1273,2,2,2,1.0426730181784527,R,R,R,R,68000,1900,R,R,R,R,3,1,1,9,16090138
2,201609,7.1273,2,2,2,1.0426730181784527,R,R,R,R,80000,1900,R,R,R,R,3,1,3,1,16090139
2,201609,7.1273,2,2,2,1.0426730181784527,R,R,R,R,82000,1900,R,R,R,R,3,3,3,1,16090140
2,201609,7.1273,2,2,2,1.0426730181784527,I,I,I,I,102000,1900,I,I,I,I,3,1,3,1,16090141
2,201609,7.1273,2,2,2,1.0426730181784527,I,I,I,I,102000,1900,I,I,I,I,3,1,3,1,16090142
2,201609,7.1273,2,2,2,1.0426730181784527,R,I,R,R,102000,1900,R,R,R,R,3,3,1,9,16090143
2,201609,7.1273,2,2,3,1.0426730181784527,I,I,I,I,102000,1900,I,I,I,I,3,3,3,1,16090144
2,201609,7.1273,2,2,2,1.0426730181784527,R,R,R,R,112000,1900,R,R,R,R,3,1,3,1,16090145
2,201609,7.1273,2,2,2,1.0426730181784527,R,R,R,R,87000,2000,R,R,R,R,3,3,3,1,16090146
2,201609,7.1273,2,2,1,1.0426730181784527,R,R,R,R,154400,2000,R,R,R,R,3,1,1,9,16090147
2,201609,7.1273,2,2,2,1.0426730181784527,R,R,R,R,72000,2100,R,R,R,R,3,1,2,1,16090148
2,201609,7.1273,1,2,9,1.0426730181784527,I,I,I,I,107000,2100,9,9,9,9,3,9,9,9,16090149
2,201609,7.1273,2,2,2,1.0426730181784527,R,I,R,R,107000,2100,R,R,R,R,3,3,1,9,16090150
2,201609,7.1273,1,2,9,1.0426730181784527,I,I,I,I,109000,2100,9,9,9,9,3,9,9,9,16090151
