control,shipmonth,weight,wgtadj,status,region,titled,sections,price,sqft,bedrooms,location,foundation,secured,jstatus,jprice,jsqft,jbedroom,jtitle,jlocation,jfoundation,jsecured
17010200,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010201,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010202,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010203,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010204,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010205,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010206,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010207,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010208,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010209,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010210,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010211,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010212,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010213,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010214,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010215,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010216,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010217,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010218,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010219,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010220,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010221,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010222,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010223,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010224,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010225,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010226,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010227,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010228,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010229,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
17010230,201701,1.0,1.0154,3,5,9,1,9,9,9,9,9,9,R,9,9,9,9,9,9,9
